study_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,test_word,Reference,old_new,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,0,0,0,0,,,,,,,,0.035006624999368796,,0.01407712500076741,0.035006624999368796,0.035006624999368796,2.6662180839994107,1,2.6363578749987937,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
T-shirt,0,1,1,7,,,,,,,,2.684820291999131,,2.6665520839997043,2.684820291999131,2.684820291999131,3.2323202499992476,1,0.5470203330005461,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
mouse,0,2,2,8,,,,,,,,3.249298209000699,,3.2325337090005632,3.249298209000699,3.249298209000699,4.545900749999419,1,1.2950357089994213,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
phone,0,3,3,2,,,,,,,,4.563774459000342,,4.546124417000101,4.563774459000342,4.563774459000342,12.500460291999843,1.3377777777777777,7.9369234169989795,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
Police,0,4,4,12,,,,,,,,12.51758833399981,,12.50069537499985,12.51758833399981,12.51758833399981,13.578630833999341,2.457777777777778,1.060694458999933,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
Poster,0,5,5,14,,,,,,,,13.595167708999725,,13.578844249999747,13.595167708999725,13.595167708999725,14.83318970899927,3.013333333333333,1.237522125000396,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
Case,0,6,6,10,,,,,,,,14.850289374999193,,14.833402959000523,14.850289374999193,14.850289374999193,15.909067750000759,3.9555555555555557,1.05609454200021,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
cushion,0,7,7,1,,,,,,,,15.925609750000149,,15.909281709000425,15.925609750000149,15.925609750000149,16.961378959000285,4.977777777777778,1.035523958998965,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
chart,0,8,8,6,,,,,,,,16.97667408400048,,16.96158312499938,16.97667408400048,16.97667408400048,17.49932629199975,4.977777777777778,0.5215459579994786,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
Pastry,0,9,9,9,,,,,,,,17.516179292000743,,17.499541125000178,17.516179292000743,17.516179292000743,17.644812291999187,4.977777777777778,0.12804812499962281,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
Cruise,0,10,10,11,,,,,,,,17.660154334000254,,17.64502150000044,17.660154334000254,17.660154334000254,17.79488691699953,4.977777777777778,0.13369750000128988,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
board,0,11,11,4,,,,,,,,17.811083541999324,,17.79508808399987,17.811083541999324,17.811083541999324,18.066091333999793,4.977777777777778,0.25436987499961106,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
Keys,0,12,12,13,,,,,,,,18.083128917000067,,18.066303292000157,18.083128917000067,18.083128917000067,18.187700791999305,4.977777777777778,0.10439862500061281,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
marble,0,13,13,3,,,,,,,,18.204324709000502,,18.18791304200022,18.204324709000502,18.204324709000502,18.444717459000458,4.977777777777778,0.24013525000009395,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
laptop,0,14,14,5,,,,,,,,18.460206125000695,,18.444916667000143,18.460206125000695,18.460206125000695,18.57589766700039,4.977777777777778,0.11205858399989665,,,,,,kriti,001,2024-10-25_12h08.13.622,Session-7_word priming,2024.1.5,None,2024-10-25 12h08.24.636755 +0530,
,,,,,,,,,,,,18.59573683400049,,,,,,,,18.582072791999963,18.59573683400049,18.59573683400049,18.59573683400049,0.008286750000479515,,,,,,,,
